group_value,k,n_queries,recall,precision,mrr,ndcg,hit_rate
API Documentation,1,68,0.6029,0.6618,0.794,0.6618,0.6618
HR Policies,1,54,0.1019,0.1111,0.2346,0.1111,0.1111
Project Meeting Notes,1,100,0.2033,0.21,0.388,0.21,0.21
Security Policies,1,64,0.1875,0.2031,0.3317,0.2031,0.2031
System Design Documents,1,45,0.1111,0.1111,0.2363,0.1111,0.1111
Travel Policies,1,49,0.602,0.6327,0.7435,0.6327,0.6327
API Documentation,3,68,0.8529,0.3039,0.794,0.7721,0.9118
HR Policies,3,54,0.287,0.1049,0.2346,0.2059,0.3148
Project Meeting Notes,3,100,0.4367,0.1767,0.388,0.3522,0.53
Security Policies,3,64,0.3906,0.1354,0.3317,0.3131,0.4062
System Design Documents,3,45,0.2556,0.0889,0.2363,0.1875,0.2667
Travel Policies,3,49,0.8163,0.2925,0.7435,0.7325,0.8163
API Documentation,5,68,0.9118,0.2,0.794,0.7988,0.9412
HR Policies,5,54,0.3704,0.0889,0.2346,0.2445,0.3889
Project Meeting Notes,5,100,0.5233,0.13,0.388,0.3907,0.64
Security Policies,5,64,0.4453,0.0938,0.3317,0.3374,0.4531
System Design Documents,5,45,0.4222,0.1022,0.2363,0.2631,0.5111
Travel Policies,5,49,0.9592,0.2041,0.7435,0.7913,0.9592
API Documentation,10,68,0.9706,0.1088,0.794,0.8196,0.9706
HR Policies,10,54,0.6019,0.0722,0.2346,0.3217,0.6296
Project Meeting Notes,10,100,0.6083,0.08,0.388,0.4227,0.75
Security Policies,10,64,0.6172,0.0641,0.3317,0.3931,0.625
System Design Documents,10,45,0.5111,0.0667,0.2363,0.2956,0.6222
Travel Policies,10,49,1.0,0.1082,0.7435,0.8068,1.0
