group_value,k,n_queries,recall,precision,mrr,ndcg,hit_rate
aggregation,1,35,0.581,0.6,0.7748,0.6,0.6
comparison,1,33,0.4545,0.5455,0.6177,0.5455,0.5455
exception,1,34,0.0882,0.0882,0.1474,0.0882,0.0882
multi_hop,1,53,0.0755,0.1509,0.3434,0.1509,0.1509
single_hop,1,220,0.3227,0.3227,0.4674,0.3227,0.3227
temporal,1,5,0.0,0.0,0.0422,0.0,0.0
aggregation,3,35,0.8762,0.3048,0.7748,0.7736,0.9143
comparison,3,33,0.5606,0.2424,0.6177,0.544,0.6364
exception,3,34,0.1176,0.0392,0.1474,0.1029,0.1176
multi_hop,3,53,0.2358,0.1572,0.3434,0.2,0.4717
single_hop,3,220,0.5818,0.1939,0.4674,0.4731,0.5818
temporal,3,5,0.0,0.0,0.0422,0.0,0.0
aggregation,5,35,0.8952,0.1943,0.7748,0.7845,0.9714
comparison,5,33,0.7121,0.1939,0.6177,0.6152,0.7576
exception,5,34,0.2059,0.0412,0.1474,0.1397,0.2059
multi_hop,5,53,0.3774,0.1509,0.3434,0.2722,0.6604
single_hop,5,220,0.6682,0.1336,0.4674,0.5085,0.6682
temporal,5,5,0.0,0.0,0.0422,0.0,0.0
aggregation,10,35,0.9238,0.1057,0.7748,0.7976,1.0
comparison,10,33,0.8182,0.1182,0.6177,0.6573,0.8788
exception,10,34,0.4118,0.0412,0.1474,0.2075,0.4118
multi_hop,10,53,0.5377,0.1075,0.3434,0.3358,0.8302
single_hop,10,220,0.7636,0.0764,0.4674,0.5389,0.7636
temporal,10,5,0.2,0.04,0.0422,0.0724,0.4
