group_value,k,n_queries,recall,precision,mrr,ndcg,hit_rate
API Documentation,1,68,0.6029,0.6618,0.8175,0.6618,0.6618
HR Policies,1,54,0.1204,0.1481,0.2775,0.1481,0.1481
Project Meeting Notes,1,100,0.2383,0.28,0.4003,0.28,0.28
Security Policies,1,64,0.2969,0.2969,0.4106,0.2969,0.2969
System Design Documents,1,45,0.1333,0.1333,0.2891,0.1333,0.1333
Travel Policies,1,49,0.7143,0.7551,0.8296,0.7551,0.7551
API Documentation,3,68,0.9559,0.3578,0.8175,0.8379,0.9559
HR Policies,3,54,0.3056,0.1296,0.2775,0.2334,0.3519
Project Meeting Notes,3,100,0.3867,0.1567,0.4003,0.3441,0.47
Security Policies,3,64,0.4219,0.1406,0.4106,0.3696,0.4219
System Design Documents,3,45,0.3111,0.1037,0.2891,0.2368,0.3111
Travel Policies,3,49,0.898,0.3265,0.8296,0.8319,0.898
API Documentation,5,68,0.9853,0.2206,0.8175,0.8499,0.9853
HR Policies,5,54,0.463,0.1185,0.2775,0.3027,0.5
Project Meeting Notes,5,100,0.4217,0.104,0.4003,0.3595,0.52
Security Policies,5,64,0.5781,0.1156,0.4106,0.4355,0.5781
System Design Documents,5,45,0.4667,0.1022,0.2891,0.3047,0.5111
Travel Policies,5,49,0.9592,0.2082,0.8296,0.8573,0.9592
API Documentation,10,68,1.0,0.1118,0.8175,0.8548,1.0
HR Policies,10,54,0.6111,0.0759,0.2775,0.3538,0.6296
Project Meeting Notes,10,100,0.5283,0.069,0.4003,0.3981,0.67
Security Policies,10,64,0.7344,0.075,0.4106,0.4876,0.7344
System Design Documents,10,45,0.7,0.08,0.2891,0.3839,0.7556
Travel Policies,10,49,1.0,0.1082,0.8296,0.871,1.0
