group_value,k,n_queries,recall,precision,mrr,ndcg,hit_rate
aggregation,1,35,0.581,0.6,0.7607,0.6,0.6
comparison,1,33,0.5606,0.6667,0.7301,0.6667,0.6667
exception,1,34,0.0882,0.0882,0.1462,0.0882,0.0882
multi_hop,1,53,0.1415,0.283,0.4016,0.283,0.283
single_hop,1,220,0.3727,0.3727,0.5162,0.3727,0.3727
temporal,1,5,0.0,0.0,0.0,0.0,0.0
aggregation,3,35,0.8762,0.3048,0.7607,0.7736,0.9143
comparison,3,33,0.7121,0.3232,0.7301,0.6921,0.7879
exception,3,34,0.0882,0.0294,0.1462,0.0882,0.0882
multi_hop,3,53,0.283,0.1887,0.4016,0.2679,0.4151
single_hop,3,220,0.6045,0.2015,0.5162,0.5089,0.6045
temporal,3,5,0.0,0.0,0.0,0.0,0.0
aggregation,5,35,0.8762,0.1829,0.7607,0.7736,0.9143
comparison,5,33,0.7879,0.2242,0.7301,0.7313,0.8485
exception,5,34,0.2647,0.0529,0.1462,0.1629,0.2647
multi_hop,5,53,0.3491,0.1396,0.4016,0.3002,0.5472
single_hop,5,220,0.7045,0.1409,0.5162,0.5501,0.7045
temporal,5,5,0.0,0.0,0.0,0.0,0.0
aggregation,10,35,0.8952,0.0971,0.7607,0.7826,0.9429
comparison,10,33,0.8485,0.1242,0.7301,0.7556,0.8788
exception,10,34,0.3824,0.0382,0.1462,0.2007,0.3824
multi_hop,10,53,0.4906,0.0981,0.4016,0.3556,0.7736
single_hop,10,220,0.8318,0.0832,0.5162,0.5919,0.8318
temporal,10,5,0.0,0.0,0.0,0.0,0.0
