group_value,k,n_queries,recall,precision,mrr,ndcg,hit_rate
API Documentation,1,68,0.6176,0.6765,0.8358,0.6765,0.6765
HR Policies,1,54,0.1204,0.1481,0.2768,0.1481,0.1481
Project Meeting Notes,1,100,0.2633,0.33,0.4696,0.33,0.33
Security Policies,1,64,0.3125,0.3125,0.4267,0.3125,0.3125
System Design Documents,1,45,0.2,0.2,0.3043,0.2,0.2
Travel Policies,1,49,0.7347,0.7755,0.8465,0.7755,0.7755
API Documentation,3,68,0.9779,0.3578,0.8358,0.8592,1.0
HR Policies,3,54,0.2963,0.1235,0.2768,0.2296,0.3519
Project Meeting Notes,3,100,0.4367,0.1833,0.4696,0.3908,0.55
Security Policies,3,64,0.4922,0.1719,0.4267,0.4185,0.5
System Design Documents,3,45,0.3333,0.1111,0.3043,0.2783,0.3333
Travel Policies,3,49,0.8878,0.3197,0.8465,0.8369,0.898
API Documentation,5,68,1.0,0.2235,0.8358,0.8709,1.0
HR Policies,5,54,0.463,0.1185,0.2768,0.3054,0.5
Project Meeting Notes,5,100,0.4667,0.118,0.4696,0.4042,0.59
Security Policies,5,64,0.5234,0.1094,0.4267,0.4306,0.5312
System Design Documents,5,45,0.3889,0.08,0.3043,0.3014,0.4
Travel Policies,5,49,0.9388,0.2041,0.8465,0.8598,0.9388
API Documentation,10,68,1.0,0.1118,0.8358,0.8709,1.0
HR Policies,10,54,0.5648,0.0704,0.2768,0.3403,0.5926
Project Meeting Notes,10,100,0.615,0.08,0.4696,0.4568,0.78
Security Policies,10,64,0.7266,0.075,0.4267,0.4965,0.7344
System Design Documents,10,45,0.6111,0.0733,0.3043,0.3778,0.6444
Travel Policies,10,49,1.0,0.1082,0.8465,0.8812,1.0
