group_value,k,n_queries,recall,precision,mrr,ndcg,hit_rate
aggregation,1,35,0.581,0.6,0.7683,0.6,0.6
comparison,1,33,0.5606,0.6667,0.746,0.6667,0.6667
exception,1,34,0.0882,0.0882,0.1522,0.0882,0.0882
multi_hop,1,53,0.1887,0.3774,0.4907,0.3774,0.3774
single_hop,1,220,0.4,0.4,0.5383,0.4,0.4
temporal,1,5,0.0,0.0,0.02,0.0,0.0
aggregation,3,35,0.8762,0.3048,0.7683,0.7736,0.9143
comparison,3,33,0.7273,0.3333,0.746,0.6965,0.8485
exception,3,34,0.1471,0.049,0.1522,0.1215,0.1471
multi_hop,3,53,0.3113,0.2075,0.4907,0.3217,0.5283
single_hop,3,220,0.6364,0.2121,0.5383,0.5408,0.6364
temporal,3,5,0.0,0.0,0.02,0.0,0.0
aggregation,5,35,0.8762,0.1829,0.7683,0.7736,0.9143
comparison,5,33,0.8333,0.2424,0.746,0.7517,0.9091
exception,5,34,0.1765,0.0353,0.1522,0.1329,0.1765
multi_hop,5,53,0.3679,0.1472,0.4907,0.3516,0.5849
single_hop,5,220,0.6955,0.1391,0.5383,0.5653,0.6955
temporal,5,5,0.0,0.0,0.02,0.0,0.0
aggregation,10,35,0.9143,0.1029,0.7683,0.7907,1.0
comparison,10,33,0.8485,0.1242,0.746,0.7583,0.9091
exception,10,34,0.4118,0.0412,0.1522,0.2112,0.4118
multi_hop,10,53,0.5189,0.1038,0.4907,0.4101,0.7925
single_hop,10,220,0.8227,0.0823,0.5383,0.6065,0.8227
temporal,10,5,0.1,0.02,0.02,0.0354,0.2
