group_value,k,n_queries,recall,precision,mrr,ndcg,hit_rate
API Documentation,1,68,0.6618,0.7206,0.8603,0.7206,0.7206
HR Policies,1,54,0.1204,0.1481,0.274,0.1481,0.1481
Project Meeting Notes,1,100,0.2633,0.33,0.4764,0.33,0.33
Security Policies,1,64,0.3125,0.3125,0.4236,0.3125,0.3125
System Design Documents,1,45,0.1333,0.1333,0.2854,0.1333,0.1333
Travel Policies,1,49,0.7347,0.7755,0.8465,0.7755,0.7755
API Documentation,3,68,0.9779,0.3578,0.8603,0.8774,1.0
HR Policies,3,54,0.2963,0.1235,0.274,0.232,0.3519
Project Meeting Notes,3,100,0.4567,0.19,0.4764,0.4021,0.57
Security Policies,3,64,0.4609,0.1615,0.4236,0.4009,0.4688
System Design Documents,3,45,0.3111,0.1037,0.2854,0.2368,0.3111
Travel Policies,3,49,0.8878,0.3197,0.8465,0.8369,0.898
API Documentation,5,68,1.0,0.2235,0.8603,0.8891,1.0
HR Policies,5,54,0.4444,0.1148,0.274,0.2999,0.4815
Project Meeting Notes,5,100,0.5267,0.13,0.4764,0.4315,0.65
Security Policies,5,64,0.5703,0.1188,0.4236,0.4466,0.5781
System Design Documents,5,45,0.4333,0.0889,0.2854,0.2895,0.4444
Travel Policies,5,49,0.9388,0.2041,0.8465,0.8598,0.9388
API Documentation,10,68,1.0,0.1118,0.8603,0.8891,1.0
HR Policies,10,54,0.5463,0.0685,0.274,0.3335,0.5741
Project Meeting Notes,10,100,0.605,0.079,0.4764,0.4607,0.77
Security Policies,10,64,0.7109,0.0734,0.4236,0.4909,0.7188
System Design Documents,10,45,0.7222,0.0844,0.2854,0.3902,0.7556
Travel Policies,10,49,1.0,0.1082,0.8465,0.8812,1.0
