Method,k,Recall,Precision,MRR,nDCG,Hit Rate,n_queries
BM25,1,0.2982,0.3184,0.4573,0.3184,0.3184,380
BM25,3,0.5096,0.1868,0.4573,0.4295,0.5526,380
BM25,5,0.6022,0.1368,0.4573,0.4705,0.6526,380
BM25,10,0.7127,0.0834,0.4573,0.5089,0.7684,380
Dense,1,0.3456,0.3763,0.5014,0.3763,0.3763,380
Dense,3,0.5399,0.2018,0.5014,0.4712,0.5684,380
Dense,5,0.6294,0.1421,0.5014,0.5097,0.6658,380
Dense,10,0.7404,0.0850,0.5014,0.5479,0.7868,380
Hybrid,1,0.3680,0.4053,0.5295,0.4053,0.4053,380
Hybrid,3,0.5689,0.2132,0.5295,0.5006,0.6132,380
Hybrid,5,0.6228,0.1421,0.5295,0.5247,0.6632,380
Hybrid,10,0.7447,0.0863,0.5295,0.5664,0.7974,380
Rule Planner,1,0.3575,0.3947,0.5220,0.3947,0.3947,380
Rule Planner,3,0.5491,0.2053,0.5220,0.4844,0.5921,380
Rule Planner,5,0.6294,0.1426,0.5220,0.5199,0.6684,380
Rule Planner,10,0.7553,0.0874,0.5220,0.5632,0.8079,380
GPT-5 Planner,1,0.3680,0.4053,0.5325,0.4053,0.4053,380
GPT-5 Planner,3,0.5662,0.2123,0.5325,0.4993,0.6105,380
GPT-5 Planner,5,0.6491,0.1474,0.5325,0.5356,0.6895,380
GPT-5 Planner,10,0.7500,0.0868,0.5325,0.5702,0.8026,380
